id,Price
0,4739737.4388000015
1,15714704.571428554
2,12302348.76
3,11118290.04
4,4727092.570199997
5,5846522.455799994
6,5090536.62
7,5676474.9599999925
8,7060248.0
9,10121319.0
10,5681899.079999997
11,9463690.866240002
12,13186836.0
13,7920460.08
14,3281148.0
15,7732779.6000000145
16,12306572.460000016
17,7701061.5396000035
18,12445649.5644
19,4532252.399999993
20,16071911.158457132
21,13053456.0
22,7510316.58
23,8565219.0
24,5750147.254799997
25,10216908.0
26,11426220.0
27,9622869.4926
28,10339429.9788
29,13383069.102
30,9167652.0
31,10216908.0
32,8349588.0
33,14040468.0
34,10339429.9788
35,13338000.0
36,8373996.54
37,9967972.903200004
38,4781015.881199994
39,25525997.64
40,11298975.48
41,9582019.200000016
42,6301209.096
43,12119796.0
44,8565219.0
45,9167652.0
46,8314020.0
47,11061648.0
48,10216908.0
49,10216908.0
50,12350988.0
51,10670400.0
52,9622869.4926
53,4236861.0492
54,10863712.080000017
55,10882074.06000001
56,9867146.120000003
57,14449744.53
58,4923856.079999995
59,15074055.703199988
60,10790738.103599992
61,9582019.200000016
62,6760320.84
63,1980452.916000002
64,17561700.0
65,7732779.6000000145
66,10647814.32
67,9379124.014
68,10882074.06000001
69,18568837.56
70,13919278.932
71,2537766.129600001
72,11419684.38
73,7518630.6
74,11277094.046400003
75,4781015.881199994
76,16110703.44
77,4923856.079999995
78,3016759.1999999946
79,5148468.0
80,11366008.266599996
81,16780211.759999994
82,9867146.120000003
83,16604924.356800001
84,5842044.0
85,9121532.159999993
86,16780211.759999994
87,11996908.559999969
88,37042649.28
89,12306572.460000016
90,25420017.448799968
91,11218107.18599998
92,5676474.9599999925
93,4923856.079999995
94,14471867.826000001
95,8536320.0
96,14129886.3966
97,4951707.602400001
98,5969851.68
99,16355352.0
100,5072663.699999992
101,7262629.92
102,15540452.366400018
103,23698780.56
104,3200141.88
105,18411856.117200002
106,9932341.769999988
107,10402395.12
108,12282534.716400001
109,12296435.58
110,3343227.4980000015
111,3556800.0
112,5085779.399999991
113,2568898.8000000045
114,13728625.56
115,6974902.584000001
116,6848191.584000003
117,8068744.850400002
118,5513040.0
119,11995308.0
120,4345431.480000005
121,16792901.2368
122,12375791.344800001
123,10390285.9944
124,3177897.6528
125,11147815.925999999
126,12248833.147200003
127,11196637.451999998
128,10863712.080000017
129,6760320.84
130,4348188.0
131,14984976.24
